A	B	C	D	E	F	G	H	I	J	K	L
3,78	3,59	3,79	3,32	3,68	3,77	3,75	3,22	3,54	3,75	3,72	3,60
3,90	3,30	3,31	3,14	3,68	3,26	3,82	3,10	3,07	3,24	3,26	3,40
4,22	3,59	3,70	3,75	3,75	3,46	4,04	3,70	3,65	3,37	3,57	3,77
3,97	3,55	3,60	3,59	3,66	3,84	3,97	3,40	3,52	3,72	3,65	3,84
4,20	3,30	3,67	3,50	3,79	3,56	4,04	3,50	3,62	3,66	3,47	3,99
4,25	3,85	4,00	4,02	4,18	4,19	4,42	3,89	3,90	4,04	3,91	4,37
3,85	3,65	3,65	3,67	3,61	3,68	3,57	3,75	3,76	3,68	3,61	3,77
3,94	3,67	3,80	3,82	3,60	3,76	3,82	3,82	3,84	3,77	3,60	4,07
3,72	3,24	3,52	3,44	3,79	3,62	3,70	3,20	3,29	3,43	3,25	3,79
4,02	3,58	3,72	3,35	3,79	3,67	3,89	3,19	3,41	3,88	3,57	3,45
4,04	3,79	3,85	3,52	3,78	3,77	4,09	3,57	3,38	3,85	3,55	3,92
4,04	3,70	3,76	3,90	3,78	3,95	3,99	3,77	3,66	3,54	3,81	4,00
4,19	3,75	3,66	4,04	3,91	3,95	4,17	4,14	3,79	3,61	3,92	4,09
3,87	3,19	3,37	3,05	3,34	3,63	3,64	3,04	3,29	3,38	3,54	3,59
3,82	3,43	3,59	3,50	3,78	3,32	3,92	3,52	3,37	3,50	3,22	3,84
4,12	3,64	3,55	3,29	3,57	3,87	3,90	3,22	3,48	3,60	3,48	3,87
3,55	3,33	3,37	3,25	3,48	3,30	3,42	3,22	3,20	3,26	3,34	3,44
4,55	3,94	3,94	4,05	4,08	4,06	4,47	3,77	4,06	4,22	3,84	4,17
3,72	3,70	3,75	3,69	3,72	3,26	3,81	3,44	3,50	3,88	3,50	3,34
4,10	3,67	3,67	3,59	3,55	3,97	4,09	3,62	3,50	3,71	3,75	4,00
3,93	3,66	3,72	3,84	3,88	3,64	3,92	3,89	3,79	3,81	3,64	4,05
4,07	3,65	3,69	3,92	3,80	4,02	3,99	4,04	3,92	3,85	3,82	4,22
4,09	3,72	3,85	3,74	3,91	3,82	4,12	3,77	3,75	3,79	3,67	4,05
3,84	3,57	3,50	3,36	3,88	3,87	3,82	3,19	3,19	3,63	3,54	3,69
